Date,Region,Product_Category,Sales_Revenue,Units_Sold,Profit
2023-01-01,North,Electronics,15000,50,4500
2023-01-15,South,Furniture,8000,20,1200
2023-02-10,East,Electronics,12000,40,3600
2023-02-25,West,Clothing,5000,100,2500
2023-03-05,North,Furniture,9500,25,1425
2023-03-20,South,Clothing,6000,120,3000
2023-04-12,East,Furniture,11000,30,1650
2023-04-28,West,Electronics,18000,60,5400
2023-05-15,North,Clothing,7500,150,3750
2023-05-30,South,Electronics,14000,45,4200
2023-06-10,East,Clothing,5500,110,2750
2023-06-25,West,Furniture,10500,28,1575
2023-07-05,North,Electronics,16000,55,4800
2023-07-20,South,Furniture,8500,22,1275
2023-08-15,East,Electronics,13000,42,3900
2023-08-28,West,Clothing,5200,105,2600
2023-09-10,North,Furniture,10000,26,1500
2023-09-22,South,Clothing,6200,125,3100
2023-10-05,East,Furniture,11500,32,1725
2023-10-18,West,Electronics,19000,65,5700
2023-11-12,North,Clothing,8000,160,4000
2023-11-25,South,Electronics,14500,48,4350
2023-12-08,East,Clothing,5800,115,2900
2023-12-20,West,Furniture,11000,30,1650
2024-01-05,North,Electronics,17000,58,5100
2024-01-18,South,Furniture,9000,24,1350
2024-02-12,East,Electronics,14000,46,4200
2024-02-26,West,Clothing,5500,110,2750
2024-03-10,North,Furniture,10500,28,1575
2024-03-22,South,Clothing,6500,130,3250
